group#,locationN,locationW,date,week#,max temp,min temp,precip,plant species,common_name_plant,flower/head count,bird species,insect species,insect_common name,Flowering Stage Percentage of Wild Radish,Great brome seeding %,Humidity %,Tadpole presance,Abundancy of pollinators ,Algae coverage %
6,34°24’22.7”N,119°50’39.8”W,4/9/2026,1,71°F,67°F,0%,Bromus diandrus,Ripgut Brome/ Great Brome,9,humming bird,Apis mellifera,Western Honeybee,40% unbloomed,,69%,many (50+),"~ every 3-4 minutes, we saw a pollinator species",10
,,,,,,,,Avena fatua,Wild Oats,65,song sparrow,,,60% bloomed,,,,,
,,,,,,,,Raphanus raphanistrum,wild radish,110,,,,0% seed pod stage,,,,,
,,,,,,,,,,,,,,,,,,,
6,34°24’22.7”N,119°50’39.8”W,4/16/2026,2,66°F,66°F,0%,Bromus diandrus,Ripgut Brome/ Great Brome,35,humming bird,Apis mellifera,Western Honeybee,20% unbloomed,70,62%,few (1-10),4 pollinators/ 5 min,15
,,,,,,,,Raphanus raphanistrum,wild radish,231,American crow,Pieris rapae,cabbage white butterfly,80%  bloomed,,,,,
,,,,,,,,,,,House Finch,Hesperiidae sp.,skipper butterfly,0% seed pod stage,,,,,
6,34°24’22.7”N,119°50’39.8”W,,,,,,,,,Song Sparrow,,,,,,,,
,,,,,,,,,,,orange-crowned Warbler,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,34°24’22.7”N,119°50’39.8”W,4/23/2026,3,68,66,0%,Bromus diandrus,Ripgut Brome/ Great Brome,70,Song Sparrow,Apis mellifera,Western Honeybee,20 % seed pod stage,60,57%,moderate(15),5 pollinators / 5 min ,17
,,,,,,,,Raphanus raphanistrum,wild radish,285,American Crow,Pieris rapae,cabbage white butterfly,5% unbloomed ,,,,,
,,,,,,,,,,,House Finch,,,75% bloomed ,,,,,
,,,,,,,,,,,Ornage-crowned Warbler,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,34°24’22.7”N,119°50’39.8”W,4/30/2026,4,68,67,0,Bromus diandrus,Ripgut Brome/ Great Brome,no data collected,Ornage-crowned Warbler,Apis mellifera,Western Honeybee,27% seed pod stage ,60,61%,Few (1-10),7 pollinators / 5 min,20
,,,,,,,,Raphanus raphanistrum,wild radish,436,Song Sparrow,Pieris rapae,cabbage white butterfly,5% unbloomed,,,,7- 2 butterflies and 5 bees,
,,,,,,,,Frankenia salina,Alkali sea heath,0,American Crow,,,68% bloomed ,,,,,
,,,,,,,,,,,California towhee,,,,,,,,
,,,,,,,,,,,House Finch,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,34°24’22.7”N,119°50’39.8”W,5/7/2026,5,69,68,0,Bromus diandrus,Ripgut Brome/ Great Brome,388,Great Blue Heron,Apis mellifera,Western Honeybee,64% seed pod stage,50,64%,Few (1-10),11 pollinators/5 min,15
,,,,,,,,Raphanus raphanistrum,wild radish,140,Great Egret,Pieris rapae,cabbage white butterfly,8% unbloomed,,,,8 bees 3 butterflies ,
,,,,,,,,Frankenia salina,Alkali sea heath,0,Song Sparrow,,,28% flowering,,,,,
,,,,,,,,,,,European straling,,,,,,,,
,,,,,,,,,,,American crow,,,,,,,,
,,,,,,,,,,,California towhee,,,,,,,,
,,,,,,,,,,,Anna's Hummingbird,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,34°24’22.7”N,119°50’39.8”W,5/14/2026,6,63,63,0,Bromus diandrus,Ripgut Brome/ Great Brome,300,American Crow,Apis mellifera,Western Honeybee,82% seed pod stage,40,76%,moderate (11-30),9 pollinators/ 5 min,27
,,,,,,,,Raphanus raphanistrum,wild radish,60,House Finch,Musca domestica,House fly,15% unbloomed,,,,2 bees 7 flies,
,,,,,,,,Frankenia salina,Alkali sea heath,,Song Sparrow,,,3% flowering,,,,,
,,,,,,,,,,,Savannah Sparrow,,,,,,,,
,,,,,,,,,,,Western Warbling Vireo,,,,,,,,
,,,,,,,,,,,Northern rough-winged swallow,,,,,,,,
,,,,,,,,,,,European Starling,,,,,,,,
,,,,,,,,,,,Caspian Tern,,,,,,,,
, ,,,,,,,,,,Western Flycatcher,,,,,,,,
,,,,,,,,,,,Anna's Hummingbird,,,,,,,,
,,,,,,,,,,,,,,,60%,67%,,,
6,34°24’22.7”N,119°50’39.8”W,5/22/2026,7,68,68,0,Bromus diandrus,Ripgut Brome/ Great Brome,91,Dark eyed junco,Apis mellifera,Western Honeybee,97% seed pod stage ,40% italian ryegrass,,Moderate(11-30),13 pollinators / 5 min ,20
,,,,,,,,Raphanus raphanistrum,wild radish,175,Song Sparrow,Musca domestica,House fly,0% unbloomed,,,,5 bees 7 flies 3 white butterflies ,
,,,,,,,,Frankenia salina,Alkali sea heath,no data collected,Downy Woodpecker,,,3% flowering ,,,,,
,,,,,,,,Festuca perennis/Lolium multiflorum,Italian rye grass,no data collected,House Finch,,,,,,,,
,,,,,,,,,,,Hudsonian Whimbrel,,,,,,,,
,,,,,,,,,,,Bushtit,,,,,,,,
,,,,,,,,,,,California Towhee,,,,,,,,
,,,,,,,,,,,American Crow,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,34°24’22.7”N,119°50’39.8”W,5/28/2026,8,61,61,0.5,Bromus diandrus,Ripgut Brome/ Great Brome,240,House Finch,Aphidoidea,Aphids ,98% seed pod stage,100%,72%,None(0),2 pollinators/5min,17
,,,,,,,,Raphanus raphanistrum,wild radish,50,Black Phoebe ,Musca domestica,House fly,0% unbloomed,,,,2 flies 1 caterpillar brown tiny 2 tiny insects ,
,,,,,,,,Frankenia salina,Alkali sea heath,0,Song Sparrow,unidentified,brown caterpillar,2% flowering,,,,caterpillar and insects arent pollinators**,
,,,,,,,,Festuca perennis/Lolium multiflorum,Italian rye grass,76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
